artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Wheatus,Teenage Dirtbag,241666,TRUE,1999,71,4,94.661,"pop, rock"
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,FALSE,1999,64,8,118.903,pop
Creed,Higher,316733,FALSE,1999,69,2,155.827,"pop, rock, metal"
Britney Spears,Lucky,206226,FALSE,2000,65,8,95.026,pop
Nelly,Country Grammar (Hot Shit),287000,TRUE,2000,68,2,162.831,"hip hop, pop, R&B"
Shaggy,It Wasn't Me,227600,FALSE,2000,76,0,94.759,"hip hop, pop"
Destiny's Child,Survivor,254026,FALSE,2001,70,1,161.109,"pop, R&B"
Eminem,Stan,404106,TRUE,2000,83,6,80.063,hip hop
Kylie Minogue,Can't Get You out of My Head,230640,FALSE,2001,73,9,126.007,"pop, Dance/Electronic"
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,FALSE,2001,68,5,109.919,pop
Nelly Furtado,I'm Like A Bird,243160,FALSE,2000,1,10,89.661,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",196160,FALSE,2001,74,1,107.657,"pop, latin"
Jimmy Eat World,The Middle,165853,FALSE,2001,78,2,162.152,"rock, pop"
Train,Drops of Jupiter (Tell Me),259933,FALSE,2001,77,0,79.064,pop
Geri Halliwell,It's Raining Men,254640,FALSE,2001,62,5,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,FALSE,2001,71,5,89.976,"pop, R&B"
Britney Spears,I'm a Slave 4 U,203600,FALSE,2001,69,5,110.027,pop
Kylie Minogue,In Your Eyes,197826,FALSE,2001,62,6,123.971,"pop, Dance/Electronic"
Missy Elliott,One Minute Man (feat. Ludacris),252986,TRUE,2001,57,9,93.839,"hip hop, pop, R&B"
Mary J. Blige,Family Affair,265866,FALSE,2001,76,8,92.887,"pop, R&B"
Faithless,We Come 1 - Radio Edit,222435,FALSE,2015,53,5,135.977,"pop, Dance/Electronic"
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,TRUE,2000,73,1,96.306,metal
Lasgo,Something,220973,FALSE,2001,65,7,140.01,pop
iio,Rapture (feat.Nadia Ali),253586,FALSE,2006,54,8,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,FALSE,2001,54,9,118.011,pop
112,It's Over Now,264933,FALSE,2001,57,1,97.988,"hip hop, pop, R&B"
Blue,All Rise,223546,FALSE,2001,63,5,97.996,pop
Jessica Simpson,Irresistible,194026,FALSE,2001,43,8,93.013,"pop, R&B"
Crazy Town,Butterfly,216733,FALSE,1999,71,9,103.502,"rock, metal"
Michael Jackson,You Rock My World,337733,FALSE,2001,64,4,95,"pop, R&B"
Eve,Let Me Blow Ya Mind,230133,TRUE,2001,73,8,90.032,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,246160,FALSE,2001,0,5,99.825,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,271626,FALSE,2002,50,6,102.043,"hip hop, pop, R&B"
Nickelback,How You Remind Me,223840,FALSE,2001,78,10,172.094,"rock, metal"
Daft Punk,One More Time,320357,FALSE,2001,76,2,122.746,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,270506,TRUE,2000,82,4,94.948,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,213346,FALSE,2001,50,11,137.029,"pop, Dance/Electronic"
Mariah Carey,Loverboy,229173,FALSE,2001,42,1,103.141,"pop, R&B"
Dido,Thank You,218360,FALSE,1999,73,1,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,FALSE,2000,57,6,89.989,"pop, R&B"
P.O.D.,Youth of the Nation,256240,FALSE,2001,69,8,97.867,"rock, metal"
Jennifer Lopez,Play,211493,TRUE,2001,57,1,104.719,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,211120,TRUE,2001,68,0,177.87,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,FALSE,2008,52,10,100.851,"pop, latin"
